OrderID,VehicleID,Sequence,StopID,ArrivalTime,WaitingTime,UnloadingTime,DepartureTime
O_627,Veh1000_1,1,S_750,2024-09-01 06:17:00,0,9.600000000000001,2024-09-01 06:26:00
O_2317,Veh1000_1,2,S_750,2024-09-01 06:26:00,0,4.9,2024-09-01 06:31:00
O_2318,Veh1000_1,3,S_750,2024-09-01 06:31:00,0,3.9,2024-09-01 06:35:00
O_2528,Veh1000_2,1,S_506,2024-09-01 06:26:00,0,5.85,2024-09-01 06:32:00
O_2529,Veh1000_2,2,S_506,2024-09-01 06:32:00,0,13.0,2024-09-01 06:45:00
O_441,Veh1000_3,1,S_527,2024-09-01 06:40:00,0,3.6,2024-09-01 06:43:00
O_1177,Veh1000_3,2,S_527,2024-09-01 06:43:00,0,5.5,2024-09-01 06:49:00
O_205,Veh1000_3,3,S_242,2024-09-01 07:37:00,0,4.2,2024-09-01 07:42:00
O_1338,Veh1000_3,4,S_242,2024-09-01 07:42:00,0,3.75,2024-09-01 07:45:00
O_1339,Veh1000_3,5,S_242,2024-09-01 07:45:00,0,5.300000000000001,2024-09-01 07:51:00
O_2527,Veh1000_4,1,S_506,2024-09-01 06:26:00,0,4.5,2024-09-01 06:31:00
O_426,Veh1000_4,2,S_506,2024-09-01 06:31:00,0,3.9,2024-09-01 06:35:00
O_2530,Veh1000_4,3,S_506,2024-09-01 06:35:00,0,8.1,2024-09-01 06:43:00
O_536,Veh1000_4,4,S_643,2024-09-01 07:43:00,0,4.95,2024-09-01 07:48:00
O_1439,Veh1000_4,5,S_643,2024-09-01 07:48:00,0,4.9,2024-09-01 07:53:00
O_1440,Veh1000_4,6,S_643,2024-09-01 07:53:00,0,3.75,2024-09-01 07:56:00
O_200,Veh1000_4,7,S_237,2024-09-01 08:46:00,0,3.5,2024-09-01 08:49:00
O_416,Veh1000_5,1,S_493,2024-09-01 06:12:00,0,11.149999999999999,2024-09-01 06:23:00
O_475,Veh1000_5,2,S_566,2024-09-01 08:13:00,0,4.55,2024-09-01 08:17:00
O_1215,Veh1000_5,3,S_566,2024-09-01 08:17:00,0,3.65,2024-09-01 08:21:00
O_2319,Veh1000_6,1,S_750,2024-09-01 06:17:00,0,4.45,2024-09-01 06:21:00
O_2316,Veh1000_6,2,S_750,2024-09-01 06:21:00,0,4.35,2024-09-01 06:25:00
O_832,Veh1000_7,1,S_986,2024-09-01 06:23:00,0,8.0,2024-09-01 06:31:00
O_2572,Veh1000_7,2,S_986,2024-09-01 06:31:00,0,10.149999999999999,2024-09-01 06:41:00
O_2570,Veh1000_7,3,S_986,2024-09-01 06:41:00,0,4.0,2024-09-01 06:45:00
O_483,Veh1000_8,1,S_575,2024-09-01 05:57:00,0,4.05,2024-09-01 06:02:00
O_2085,Veh1000_8,2,S_575,2024-09-01 06:02:00,0,3.8,2024-09-01 06:05:00
O_2086,Veh1000_8,3,S_575,2024-09-01 06:05:00,0,7.6000000000000005,2024-09-01 06:13:00
O_515,Veh1000_9,1,S_614,2024-09-01 06:12:00,0,8.25,2024-09-01 06:20:00
O_1441,Veh1000_9,2,S_614,2024-09-01 06:20:00,0,3.9,2024-09-01 06:24:00
O_709,Veh1000_9,3,S_844,2024-09-01 06:57:00,0,4.75,2024-09-01 07:02:00
O_1763,Veh1000_9,4,S_844,2024-09-01 07:02:00,0,3.9,2024-09-01 07:06:00
O_2573,Veh1000_10,1,S_986,2024-09-01 06:31:00,0,4.05,2024-09-01 06:35:00
O_2571,Veh1000_10,2,S_986,2024-09-01 06:35:00,0,3.75,2024-09-01 06:39:00
O_895,Veh1000_10,3,S_1056,2024-09-01 07:36:00,0,4.85,2024-09-01 07:41:00
O_1473,Veh1000_11,1,S_676,2024-09-01 06:24:00,0,8.0,2024-09-01 06:32:00
O_565,Veh1000_12,1,S_676,2024-09-01 06:24:00,0,6.449999999999999,2024-09-01 06:31:00
O_1474,Veh1000_12,2,S_676,2024-09-01 06:31:00,0,4.7,2024-09-01 06:35:00
O_1472,Veh1000_12,3,S_676,2024-09-01 06:35:00,0,4.85,2024-09-01 06:40:00
O_1475,Veh1000_12,4,S_676,2024-09-01 06:40:00,0,3.65,2024-09-01 06:44:00
O_1182,Veh1000_13,1,S_372,2024-09-01 06:18:00,0,8.0,2024-09-01 06:26:00
O_1518,Veh1000_14,1,S_97,2024-09-01 06:45:00,0,4.55,2024-09-01 06:50:00
O_1520,Veh1000_14,2,S_97,2024-09-01 06:50:00,0,4.7,2024-09-01 06:54:00
O_1517,Veh1000_14,3,S_97,2024-09-01 06:54:00,0,9.2,2024-09-01 07:04:00
O_1966,Veh1000_15,1,S_281,2024-09-01 06:11:00,0,6.6,2024-09-01 06:18:00
O_242,Veh1000_15,2,S_281,2024-09-01 06:18:00,0,7.35,2024-09-01 06:25:00
O_51,Veh1000_16,1,S_62,2024-09-01 06:39:00,0,3.5,2024-09-01 06:42:00
O_2023,Veh1000_16,2,S_62,2024-09-01 06:42:00,0,8.0,2024-09-01 06:50:00
O_334,Veh1000_16,3,S_392,2024-09-01 07:21:00,0,3.85,2024-09-01 07:25:00
O_1268,Veh1000_16,4,S_392,2024-09-01 07:25:00,0,3.7,2024-09-01 07:29:00
O_177,Veh1000_17,1,S_207,2024-09-01 06:38:00,0,5.2,2024-09-01 06:44:00
O_1123,Veh1000_17,2,S_207,2024-09-01 06:44:00,0,5.75,2024-09-01 06:49:00
O_123,Veh1000_17,3,S_145,2024-09-01 07:56:00,0,4.5,2024-09-01 08:01:00
O_1584,Veh1000_17,4,S_145,2024-09-01 08:01:00,0,4.65,2024-09-01 08:05:00
O_1585,Veh1000_17,5,S_145,2024-09-01 08:05:00,0,3.55,2024-09-01 08:09:00
O_1519,Veh1000_18,1,S_97,2024-09-01 06:45:00,0,4.65,2024-09-01 06:50:00
O_82,Veh1000_18,2,S_97,2024-09-01 06:50:00,0,3.65,2024-09-01 06:54:00
O_1967,Veh1000_18,3,S_281,2024-09-01 08:03:00,0,3.7,2024-09-01 08:07:00
O_319,Veh1000_18,4,S_372,2024-09-01 08:50:00,0,4.1,2024-09-01 08:55:00
O_1459,Veh1000_19,1,S_871,2024-09-01 06:44:00,0,5.5,2024-09-01 06:50:00
O_1458,Veh1000_19,2,S_871,2024-09-01 06:50:00,0,4.95,2024-09-01 06:54:00
O_1457,Veh1000_19,3,S_871,2024-09-01 06:54:00,0,3.6,2024-09-01 06:58:00
O_1456,Veh1000_19,4,S_871,2024-09-01 06:58:00,0,4.55,2024-09-01 07:03:00
O_732,Veh1000_20,1,S_871,2024-09-01 06:44:00,0,16.65,2024-09-01 07:01:00
O_1492,Veh1000_21,1,S_554,2024-09-01 06:43:00,0,7.65,2024-09-01 06:50:00
O_1493,Veh1000_22,1,S_554,2024-09-01 06:43:00,0,8.25,2024-09-01 06:51:00
O_463,Veh1000_22,2,S_554,2024-09-01 06:51:00,0,5.5,2024-09-01 06:56:00
