Y,X,Stop_ID,plt,weight,Order_ID
37.58409211,126.9706207,S_1,0.21,136.81,O_1
37.57606858,126.9688539,S_2,2.32,1406.59,O_2
37.58500537,126.9818567,S_3,0.1,108.0,O_3
37.57600022,126.9581596,S_6,0.45,432.0,O_4
37.57191387,126.9619602,S_7,0.27,32.4,O_5
37.57071161,126.9889709,S_9,0.3,375.0,O_6
37.57206117,127.0050313,S_10,0.23,141.6,O_7
37.57697973,127.0043465,S_11,2.0,2538.82,O_8
37.57071856,127.0163431,S_13,1.5,1291.42,O_9
37.57445049,127.010871,S_14,0.72,577.02,O_10
37.57802956,127.0145586,S_15,0.14,96.0,O_11
37.57782273,127.0156281,S_16,2.78,2103.19,O_12
37.56242289,126.9770419,S_18,0.21,87.25,O_13
37.55728611,126.9793555,S_19,0.24,162.65,O_14
37.5600479,126.9858184,S_20,0.17,31.6,O_15
37.56015769,126.9955974,S_21,0.92,512.01,O_16
37.56446028,127.005037,S_23,6.92,1200.0,O_17
37.56201888,127.014445,S_25,0.63,240.0,O_18
37.55433289,127.0082945,S_26,0.16,96.0,O_19
37.55247345,127.0089948,S_27,0.79,141.16,O_20
37.55706761,127.0146854,S_28,0.28,157.51,O_21
37.5651269,127.0218661,S_29,2.46,980.0,O_22
37.55998237,127.0194224,S_30,0.11,0.79,O_23
37.56742273,127.0213823,S_31,0.26,128.0,O_24
37.55479085,126.9644544,S_32,0.11,25.52,O_25
37.54869884,126.9781522,S_33,0.13,129.52,O_26
37.54607483,126.9855706,S_34,7.0,7003.76,O_27
37.54577416,126.9748246,S_35,0.95,682.32,O_28
37.5454791,126.9698731,S_36,0.1,156.0,O_29
37.53724193,126.9676278,S_37,0.4,103.37,O_30
37.53435268,126.9515469,S_38,0.37,25.44,O_31
37.54250834,126.9618379,S_39,0.13,59.9,O_32
37.53895578,126.9575843,S_40,1.59,2860.0,O_33
37.5281408,126.9692276,S_41,0.1,39.6,O_34
37.52628266,126.9546591,S_43,4.17,830.8,O_35
37.53250655,126.9950674,S_44,1.8,1011.85,O_36
37.53456471,127.0004949,S_46,0.11,96.36,O_37
37.52630091,127.0001827,S_48,2.99,3942.0,O_38
37.56787474,127.0255294,S_49,0.17,154.54,O_39
37.56108275,127.030513,S_50,0.15,38.72,O_40
37.56631969,127.0454073,S_51,2.88,1850.61,O_41
37.56149957,127.045326,S_52,2.05,1011.8,O_42
37.55850972,127.0361515,S_53,0.46,46.17,O_43
37.55822103,127.0293498,S_54,0.72,180.0,O_44
37.55313923,127.0334024,S_55,0.75,669.17,O_45
37.55485999,127.0216494,S_56,0.12,62.24,O_46
37.54717885,127.0223524,S_58,0.7,150.52,O_47
37.54364027,127.0134149,S_59,3.15,375.84,O_48
37.54102878,127.0496333,S_60,0.11,38.16,O_49
37.54640255,127.0443497,S_61,0.3,180.0,O_50
37.53954093,127.0540233,S_62,0.1,71.29,O_51
37.5482232,127.0552456,S_63,0.26,180.0,O_52
37.55453307,127.0695685,S_64,3.56,2778.79,O_53
37.56406781,127.0555683,S_65,2.97,2320.11,O_54
37.56066762,127.0800521,S_66,0.6,135.0,O_55
37.56015047,127.0814751,S_67,0.11,47.93,O_56
37.56880689,127.0801381,S_68,1.0,1152.0,O_57
37.5537606,127.0805521,S_70,0.13,45.6,O_58
37.54241324,127.0856773,S_71,1.54,1196.43,O_59
37.53799342,127.0919847,S_73,0.17,38.93,O_60
37.54688276,127.1030098,S_74,0.68,735.0,O_61
37.53449795,127.0823949,S_75,0.54,189.4,O_62
37.52879933,127.0843875,S_76,0.18,123.5,O_63
37.53383394,127.0729024,S_77,0.35,178.2,O_64
37.54652678,127.0712676,S_79,2.03,833.29,O_65
37.57580011,127.0372752,S_81,0.25,149.95,O_66
37.5831288,127.0378228,S_82,2.47,1200.0,O_67
37.57797071,127.0477271,S_83,2.0,1080.0,O_68
37.57809107,127.0600078,S_84,0.43,382.0,O_69
37.57182309,127.0512749,S_85,0.17,200.0,O_70
37.56739777,127.0612821,S_86,0.13,8.4,O_71
37.56781936,127.0664131,S_87,0.93,109.5,O_72
37.57847147,127.0705894,S_88,1.09,774.0,O_73
37.58627625,127.0472854,S_89,0.24,67.82,O_74
37.59080616,127.0553779,S_90,2.72,2238.76,O_75
37.5929078,127.0657612,S_91,0.12,109.2,O_76
37.59013384,127.0685918,S_92,0.29,74.88,O_77
37.5978135,127.065483,S_93,0.8,480.0,O_78
37.60337606,127.0651039,S_94,0.13,130.0,O_79
